Phenotype,Region,EventType,EventYear,AgeCategory,NumberTested,NumberResistant,PercentResistant,Lower95CI,Upper95CI
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,2012,19-64,22,6,27.3,11.8,48.3
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,2012,65+,22,4,18.2,6,38.2
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,2012,All Ages,55,10,18.2,9.6,30
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,2013,19-64,31,5,16.1,6.1,32.1
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,2013,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,2013,All Ages,55,8,14.5,6.9,25.7
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,2014,19-64,24,7,29.2,13.7,49.3
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,2014,All Ages,39,9,23.1,11.8,38.1
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,All Years,19-64,99,25,25.3,17.4,34.4
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,All Years,65+,64,17,26.6,16.8,38.3
P. aeruginosa (R+I) to carbapenems,Mountain,CLABSI,All Years,All Ages,188,42,22.3,16.8,28.7
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2011,All Ages,23,1,4.3,0.2,19.6
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2012,19-64,32,5,15.6,5.9,31.2
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2012,65+,58,5,8.6,3.2,18
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2012,All Ages,91,10,11,5.7,18.7
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2013, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2013,19-64,40,6,15,6.3,28.6
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2013,65+,41,3,7.3,1.8,18.6
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2013,All Ages,81,9,11.1,5.5,19.4
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2014,19-64,36,1,2.8,0.1,12.9
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2014,65+,56,9,16.1,8.1,27.4
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,2014,All Ages,95,11,11.6,6.2,19.2
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,All Years,19-64,118,13,11,6.2,17.6
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,All Years,65+,168,17,10.1,6.2,15.3
P. aeruginosa (R+I) to carbapenems,Mountain,SSI,All Years,All Ages,290,31,10.7,7.5,14.6
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2011,19-64,34,6,17.6,7.4,33.1
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2011,65+,46,5,10.9,4,22.4
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2011,All Ages,82,12,14.6,8.1,23.5
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2012,19-64,98,22,22.4,15,31.4
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2012,65+,143,17,11.9,7.3,17.9
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2012,All Ages,254,39,15.4,11.3,20.1
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2013,19-64,104,18,17.3,10.9,25.4
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2013,65+,153,36,23.5,17.3,30.7
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2013,All Ages,265,56,21.1,16.5,26.3
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2014,19-64,114,24,21.1,14.3,29.2
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2014,65+,147,25,17,11.5,23.7
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,2014,All Ages,268,49,18.3,13.9,23.2
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,All Years,19-64,350,70,20,16,24.4
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,All Years,65+,489,83,17,13.8,20.4
P. aeruginosa (R+I) to carbapenems,New_England,All HAIs,All Years,All Ages,869,156,18,15.5,20.6
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2011,65+,29,4,13.8,4.5,29.9
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2011,All Ages,45,7,15.6,7,28.3
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2012,19-64,67,18,26.9,17.2,38.3
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2012,65+,91,11,12.1,6.5,20
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2012,All Ages,163,29,17.8,12.4,24.2
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2013,19-64,61,14,23,13.7,34.7
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2013,65+,108,29,26.9,19.1,35.7
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2013,All Ages,176,45,25.6,19.5,32.3
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2014,19-64,57,17,29.8,19,42.5
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2014,65+,100,22,22,14.6,30.9
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,2014,All Ages,163,39,23.9,17.8,30.9
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,All Years,19-64,200,52,26,20.2,32.4
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,All Years,65+,328,66,20.1,16,24.7
P. aeruginosa (R+I) to carbapenems,New_England,CAUTI,All Years,All Ages,547,120,21.9,18.6,25.5
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2011,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2012,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2012,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2012,All Ages,24,5,20.8,8,40.3
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2013, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2013,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2013,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2013,All Ages,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2014,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2014, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2014,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2014,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,2014,All Ages,22,7,31.8,15.1,53
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,All Years, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,All Years,19-64,35,11,31.4,17.7,48
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,All Years,65+,36,10,27.8,15,43.9
P. aeruginosa (R+I) to carbapenems,New_England,CLABSI,All Years,All Ages,81,22,27.2,18.3,37.6
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2011, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2011,19-64,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2011,65+,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2011,All Ages,20,0,0,0,13.9
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2012,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2012, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2012,19-64,26,3,11.5,3,28.2
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2012,65+,41,2,4.9,0.8,15.1
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2012,All Ages,67,5,7.5,2.7,15.7
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2013,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2013, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2013,19-64,37,3,8.1,2.1,20.5
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2013,65+,34,3,8.8,2.2,22.1
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2013,All Ages,71,6,8.5,3.4,16.7
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2014, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2014,19-64,43,1,2.3,0.1,10.9
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2014,65+,39,2,5.1,0.8,15.9
P. aeruginosa (R+I) to carbapenems,New_England,SSI,2014,All Ages,83,3,3.6,0.9,9.5
P. aeruginosa (R+I) to carbapenems,New_England,SSI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,New_England,SSI,All Years, 1-18,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,New_England,SSI,All Years,19-64,115,7,6.1,2.7,11.6
P. aeruginosa (R+I) to carbapenems,New_England,SSI,All Years,65+,125,7,5.6,2.4,10.7
P. aeruginosa (R+I) to carbapenems,New_England,SSI,All Years,All Ages,241,14,5.8,3.3,9.3
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2011, 1-18,38,4,10.5,3.4,23.4
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2011,19-64,224,33,14.7,10.5,19.8
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2011,65+,201,32,15.9,11.3,21.4
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2011,All Ages,474,70,14.8,11.7,18.1
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2012, 1-18,46,2,4.3,0.7,13.6
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2012,19-64,407,66,16.2,12.8,20
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2012,65+,405,61,15.1,11.8,18.7
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2012,All Ages,869,130,15,12.7,17.4
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2013, 1-18,36,8,22.2,10.8,37.8
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2013,19-64,490,71,14.5,11.5,17.8
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2013,65+,500,86,17.2,14,20.6
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2013,All Ages,1039,170,16.4,14.2,18.7
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2014, 1-18,52,4,7.7,2.4,17.5
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2014,19-64,489,74,15.1,12.1,18.5
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2014,65+,481,72,15,11.9,18.3
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,2014,All Ages,1035,150,14.5,12.4,16.7
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,All Years,<1,48,7,14.6,6.6,26.7
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,All Years, 1-18,172,18,10.5,6.5,15.7
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,All Years,19-64,1610,244,15.2,13.4,16.9
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,All Years,65+,1587,251,15.8,14,17.6
P. aeruginosa (R+I) to carbapenems,Pacific,All HAIs,All Years,All Ages,3417,520,15.2,14,16.4
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2011,<1,(0),None Tested,Not Defined,Not Defined,Not Defined
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2011,19-64,47,11,23.4,12.9,37
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2011,65+,52,7,13.5,6,24.8
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2011,All Ages,105,19,18.1,11.5,26.3
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2012,19-64,136,32,23.5,16.9,31.2
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2012,65+,188,25,13.3,8.9,18.7
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2012,All Ages,337,58,17.2,13.4,21.5
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2013,19-64,195,44,22.6,17.1,28.8
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2013,65+,236,50,21.2,16.3,26.7
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2013,All Ages,447,102,22.8,19.1,26.8
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2014,19-64,191,50,26.2,20.3,32.7
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2014,65+,222,50,22.5,17.3,28.3
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,2014,All Ages,427,101,23.7,19.8,27.8
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,All Years,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,All Years, 1-18,36,6,16.7,7,31.4
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,All Years,19-64,569,137,24.1,20.6,27.7
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,All Years,65+,698,132,18.9,16.1,21.9
P. aeruginosa (R+I) to carbapenems,Pacific,CAUTI,All Years,All Ages,1316,280,21.3,19.1,23.5
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2011, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2011,19-64,52,12,23.1,13.1,35.9
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2011,65+,32,12,37.5,22.1,55
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2011,All Ages,102,26,25.5,17.7,34.6
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2012, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2012,19-64,52,14,26.9,16.2,40.1
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2012,65+,37,11,29.7,16.7,45.7
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2012,All Ages,103,25,24.3,16.7,33.2
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2013, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2013,19-64,58,12,20.7,11.7,32.5
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2013,65+,53,14,26.4,15.8,39.4
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2013,All Ages,124,30,24.2,17.2,32.3
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2014,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2014, 1-18,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2014,19-64,46,12,26.1,14.9,40.1
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2014,65+,46,9,19.6,9.9,32.8
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,2014,All Ages,112,24,21.4,14.5,29.7
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,All Years,<1,25,2,8,1.3,23.9
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,All Years, 1-18,40,7,17.5,7.9,31.5
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,All Years,19-64,208,50,24,18.5,30.1
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,All Years,65+,168,46,27.4,21,34.4
P. aeruginosa (R+I) to carbapenems,Pacific,CLABSI,All Years,All Ages,441,105,23.8,20,27.9
P. aeruginosa (R+I) to carbapenems,Pacific,SSI,2011,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,SSI,2011, 1-18,21,2,9.5,1.6,28
P. aeruginosa (R+I) to carbapenems,Pacific,SSI,2011,19-64,125,10,8,4.1,13.7
P. aeruginosa (R+I) to carbapenems,Pacific,SSI,2011,65+,117,13,11.1,6.3,17.8
P. aeruginosa (R+I) to carbapenems,Pacific,SSI,2011,All Ages,267,25,9.4,6.2,13.3
P. aeruginosa (R+I) to carbapenems,Pacific,SSI,2012,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
P. aeruginosa (R+I) to carbapenems,Pacific,SSI,2012, 1-18,28,2,7.1,1.2,21.6
P. aeruginosa (R+I) to carbapenems,Pacific,SSI,2012,19-64,219,20,9.1,5.8,13.5
P. aeruginosa (R+I) to carbapenems,Pacific,SSI,2012,65+,180,25,13.9,9.3,19.5
P. aeruginosa (R+I) to carbapenems,Pacific,SSI,2012,All Ages,429,47,11,8.2,14.1
P. aeruginosa (R+I) to carbapenems,Pacific,SSI,2013,<1,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
